timestamp,tempA,otemp,lumA,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T16:23:17.675744,17.068,18.0,0.0,,,,,12.0,3.0,5.0
2025-04-02T16:23:20.235473,18.325,17.46,0.0,,,,,15.0,36.0,25.0
2025-04-02T16:23:22.770231,17.784,13.36,0.0,,,,,19.0,8.0,5.0
2025-04-02T16:23:25.311941,15.783,10.59,0.0,,,,,22.0,39.0,45.0
2025-04-02T16:23:27.860230,13.892,11.0,0.0,,,,,2.0,13.0,5.0
2025-04-02T16:23:30.407124,13.723,14.24,0.0,,,,,5.0,44.0,45.0
2025-04-02T16:23:32.937861,15.451,18.0,0.0,,,,,9.0,14.0,45.0
2025-04-02T16:23:35.488266,17.391,18.0,4.624,,,,,12.0,48.0,5.0
2025-04-02T16:23:38.029641,18.394,16.61,4.641,,,,,16.0,19.0,45.0
2025-04-02T16:23:40.577546,17.455,12.62,8.976,,,,,19.0,51.0,25.0
2025-04-02T16:23:43.138571,15.294,10.37,1.011,,,,,23.0,24.0,45.0
2025-04-02T16:23:45.689640,13.666,11.51,2.861,,,,,2.0,58.0,5.0
2025-04-02T16:23:48.230191,13.972,15.11,10.0,,,,,6.0,29.0,45.0
2025-04-02T16:23:50.793708,15.964,18.0,10.0,,,,,10.0,3.0,5.0
2025-04-02T16:23:53.346387,17.713,18.0,10.0,,,,,13.0,36.0,25.0
2025-04-02T16:23:55.906643,18.332,15.61,10.0,,,,,17.0,9.0,45.0
2025-04-02T16:23:58.448449,17.04,11.86,5.086,,,,,20.0,41.0,25.0
2025-04-02T16:24:00.980765,14.814,10.31,1.011,,,,,0.0,13.0,5.0
2025-04-02T16:24:03.532386,13.52,12.16,6.79,,,,,3.0,44.0,45.0
2025-04-02T16:24:06.067871,14.289,16.02,10.0,,,,,7.0,16.0,25.0
2025-04-02T16:24:08.631004,16.416,18.0,10.0,,,,,10.0,49.0,45.0
2025-04-02T16:24:11.163918,17.97,18.0,10.0,,,,,14.0,21.0,25.0
2025-04-02T16:24:13.719228,18.191,14.76,10.0,,,,,17.0,53.0,5.0
2025-04-02T16:24:16.259347,16.651,11.29,1.512,,,,,21.0,26.0,25.0
2025-04-02T16:24:18.789176,14.439,10.42,1.011,,,,,0.0,56.0,25.0
2025-04-02T16:24:21.342470,13.5,12.88,9.635,,,,,4.0,29.0,45.0
2025-04-02T16:24:23.887549,14.658,16.91,10.0,,,,,8.0,1.0,25.0
2025-04-02T16:24:26.436872,16.806,18.0,10.0,,,,,11.0,33.0,5.0
2025-04-02T16:24:28.989244,18.198,18.0,10.0,,,,,15.0,6.0,25.0
2025-04-02T16:24:31.530934,17.96,13.91,10.0,,,,,18.0,38.0,5.0
2025-04-02T16:24:34.073272,16.11,10.82,6.011,,,,,22.0,9.0,45.0
2025-04-02T16:24:36.601461,14.093,10.69,6.011,,,,,1.0,41.0,25.0
2025-04-02T16:24:39.131426,13.585,13.6,10.0,,,,,5.0,11.0,25.0
2025-04-02T16:24:41.684527,15.091,17.76,10.0,,,,,8.0,44.0,45.0
2025-04-02T16:24:44.231562,17.152,18.0,10.0,,,,,12.0,16.0,25.0
2025-04-02T16:24:46.780087,18.341,17.24,10.0,,,,,15.0,48.0,5.0
2025-04-02T16:24:49.331810,17.685,13.12,10.0,,,,,19.0,21.0,25.0
2025-04-02T16:24:51.890563,15.616,10.48,6.011,,,,,22.0,54.0,45.0
2025-04-02T16:24:54.448638,13.793,11.13,6.011,,,,,2.0,28.0,5.0
2025-04-02T16:24:56.995294,13.77,14.49,10.0,,,,,5.0,59.0,45.0
2025-04-02T16:24:59.552839,15.596,18.0,10.0,,,,,9.0,33.0,5.0
2025-04-02T16:25:02.115804,17.496,18.0,10.0,,,,,13.0,6.0,25.0
2025-04-02T16:25:04.648776,18.369,16.24,5.405,,,,,16.0,38.0,5.0
2025-04-02T16:25:07.199799,17.279,12.3,8.894,,,,,20.0,11.0,25.0
2025-04-02T16:25:09.733895,15.108,10.3,1.348,,,,,23.0,41.0,25.0
2025-04-02T16:25:12.298907,13.588,11.7,5.296,,,,,3.0,14.0,45.0
2025-04-02T16:25:14.835893,14.041,15.43,4.691,,,,,6.0,48.0,5.0
2025-04-02T16:25:17.386808,16.095,18.0,5.405,,,,,10.0,19.0,45.0
2025-04-02T16:25:19.922972,17.79,18.0,5.405,,,,,13.0,51.0,25.0
2025-04-02T16:25:22.476411,18.285,15.35,4.641,,,,,17.0,23.0,5.0
2025-04-02T16:25:25.026336,16.888,11.64,0.0,,,,,20.0,56.0,25.0
2025-04-02T16:25:27.585836,14.65,10.3,0.0,,,,,0.0,29.0,45.0
2025-04-02T16:25:30.136039,13.46,12.38,0.0,,,,,4.0,1.0,25.0
2025-04-02T16:25:32.688725,14.393,16.35,0.0,,,,,7.0,34.0,45.0
2025-04-02T16:25:35.232446,16.549,18.0,0.0,,,,,11.0,6.0,25.0
2025-04-02T16:25:37.782194,18.054,18.0,0.0,,,,,14.0,39.0,45.0
2025-04-02T16:25:40.325086,18.102,14.4,0.0,,,,,18.0,11.0,25.0
2025-04-02T16:25:42.874741,16.429,11.06,0.0,,,,,21.0,43.0,5.0
2025-04-02T16:25:45.432176,14.238,10.48,0.0,,,,,1.0,16.0,25.0
2025-04-02T16:25:47.976827,13.485,13.14,0.0,,,,,4.0,48.0,5.0
